Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon
B106A,Scarangella Park,"Ave. V, Stillwell Ave., Ave. U and W 13 St.",,N,40.5947,-73.9843
B261,Schenk Playground,"Livonia Ave., Barbey St. and Schenck Ave.",,N,40.6656,-73.8861
B096,Sgt. William Dougherty Playground,"Anthony St., Vandervoort Ave., and Cherry St.",,N,40.7239,-73.9372
B239,Sheepshead Playground,Ave. Z and Nostrand Ave. to E. 29 St.,,N,40.5887,-73.9404
B082,Shore Road Park,79th Street & Shore Road,,N,40.6312,-74.0397
B137,Sixteen Sycamores Playground,"Schermerhorn St., 3 Ave. and Nevins St.",,N,40.6868,-73.981
B225,St. Andrew's Playground,"Atlantic Ave., Herkimer St. and Kingston Ave.",,N,40.6784,-73.9418
B245,St. John's Recreation Center,Bergen St. between Troy and Schenectady Aves.,,N,40.6738,-73.934
B118A,St. Mary's Playground,Smith St. between Luquer and Nelson Sts.,,N,40.6764,-73.9972
B131,Stephen A. Rudd Playground,"Bushwich Ave., Aberdeen and Granite Sts.",,N,40.683,-73.9054
B298,Stockton Playground,"Park Ave., Floyd St. and E/O Marcy Ave.",,N,40.697,-73.949
B350,Stroud Playground,"Classon Ave., Sterling Pl. and Park Pl.",,N,40.6749,-73.9618
B263,Sumner Houses Playground/PS 59,"Sumner, Throop, Park and Myrtle Aves.",,N,40.6976,-73.943
B087,Sunset Park,41 to 44 Sts. and 5 to 7 Aves.,,N,40.6481,-74.0031
B315,Surf Playground,"Surf Ave, W 25 and W 27 Sts.",,N,40.5738,-73.9924
B105,Taaffe Playground,Park to Myrtle Aves. and Taaffe Pl.,,N,40.6953,-73.9607
B311,Ten Eyck Playground/PS 196 Playground,"Bushwick Ave., Scholes St. and Messerole St.",,N,40.709,-73.939
B127,Thelma Martinez Playground,Scholes St. and Manhattan to Graham Aves.,,N,40.7093,-73.9442
B307,Tiger Playground,"Evergreen Ave., Eldert St. and Covert St.",,N,40.6882,-73.9106
B234,Tilden Playground,Tilden Ave. and E 48 to E 49 Sts.,,N,40.6476,-73.9317
B252,West Playground,N/S Ave. Z between West St. and W 1 St.,,N,40.5876,-73.9705
B275,William Grady HS Playground,"Shore Pkwy., Brighton 3 St. and 4 Rd.",,N,40.5825,-73.9647
B112,Williamsburg Bridge Playground,"Wythe Ave. to Berry St., S 5 St. and S 6 St.",,N,,
B279,Wilson Playground,"Ave. J, Ave. K, E 100 and E 101 Sts.",,N,40.6421,-73.8947
B312,Woodruff Playground/PS 224 Playground,"Stanley Ave., Autumn Ave. and Hemlock St.",,N,40.6652,-73.8662
B364,Woods Playground,"Bergen St., Utica Ave., Rochester & St. Mark's Ave.",,N,40.6746,-73.9286
M108Q,24 Sycamores Playground,1 Ave. & E. 96 St.,,N,40.7595,-73.9586
M071,76 St. Playground,W. 76 St. & Riverside Drive,,N,40.7832,-73.985
M193,Abraham Lincoln Playground,135 St. & Madison Ave.,,N,40.8122,-73.9376
M194,Al Smith Recreations Center,Catherine St.,,N,40.7104,-73.9975
M196,Alfred E. Smith Playground,Madison and Catherine Sts. to Oliver St.,,N,40.7122,-73.9974
M164,Asser Levy Playground,E. 23 St. & FDR Drive,,N,40.7364,-73.9753
M240,Audubon Playground,170 St. & Audubon Ave.,,N,40.8414,-73.9385
M226,Augustus Saint-Garden's Playground,E. 19 St. & 2 Ave.,,N,40.7353,-73.9821
M165,Baruch Playground,Rivington St. & Baruch Place,,N,40.7172,-73.9766
M263,Bellevue South Playground,E. 26 St. & 2 Ave.,,N,40.7397,-73.9785
M214,Blake Hobbs Park,104 St. & 2 Ave.,,N,40.7885,-73.9443
M238,Bloomingdale Playground,W. 104 St. & Amsterdam Ave.,,N,40.799,-73.966
